IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,,,,0,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,,,,0,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,,,,0,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,GRD,Grenada,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,10,,,,,,10,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,10,,,,,,10,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,100,,,,,,100,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,14,,,,,,14,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,14,,,,,,14,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,19,,,,,,19,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,EUR,Europe,Country,SRB,Serbia,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,2,,,,,,2,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,21,,,,,,21,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,22,,,,,,22,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,24,,,,,,24,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,25,,,,,,25,,,EN,2024-07-14T21:00:00.000Z
SDGHPVRECEIVED,HPV immunization coverage estimates among primary target cohort (9-14 years old girls) (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2023,true,Sex,Female,SEX_FMLE,,,,,,,,,,25,,,,,,25,,,EN,2024-07-14T21:00:00.000Z
