Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
23,Cervix uteri,004,Afghanistan,AFG,0,0,10.27
23,Cervix uteri,008,Albania,ALB,0,0,8.7
23,Cervix uteri,012,Algeria,DZA,0,0,7.96
23,Cervix uteri,024,Angola,AGO,0,0,30.4
23,Cervix uteri,031,Azerbaijan,AZE,0,0,8.18
23,Cervix uteri,032,Argentina,ARG,0,0,16.78
23,Cervix uteri,036,Australia,AUS,0,0,5.25
23,Cervix uteri,040,Austria,AUT,0,0,5.87
23,Cervix uteri,044,Bahamas,BHS,0,0,15.15
23,Cervix uteri,048,Bahrain,BHR,0,0,2.66
23,Cervix uteri,050,Bangladesh,BGD,0,0,11.28
23,Cervix uteri,051,Armenia,ARM,0,0,6.83
23,Cervix uteri,052,Barbados,BRB,0,0,13.75
23,Cervix uteri,056,Belgium,BEL,0,0,6.3
23,Cervix uteri,064,Bhutan,BTN,0,0,13.56
23,Cervix uteri,068,Bolivia (Plurinational State of),BOL,0,0,38.65
23,Cervix uteri,070,Bosnia Herzegovina,BIH,0,0,12.33
23,Cervix uteri,072,Botswana,BWA,0,0,39.06
23,Cervix uteri,076,Brazil,BRA,0,0,12.69
23,Cervix uteri,084,Belize,BLZ,0,0,17.27
23,Cervix uteri,090,Solomon Islands,SLB,0,0,26.15
23,Cervix uteri,096,Brunei Darussalam,BRN,0,0,20.01
23,Cervix uteri,100,Bulgaria,BGR,0,0,15.41
23,Cervix uteri,104,Myanmar,MMR,0,0,21.44
23,Cervix uteri,108,Burundi,BDI,0,0,43.58
23,Cervix uteri,112,Belarus,BLR,0,0,9.25
23,Cervix uteri,116,Cambodia,KHM,0,0,15.24
23,Cervix uteri,120,Cameroon,CMR,0,0,33.11
23,Cervix uteri,124,Canada,CAN,0,0,6.63
23,Cervix uteri,132,Cape Verde,CPV,0,0,16.07
23,Cervix uteri,140,Central African Republic,CAF,0,0,21.77
23,Cervix uteri,144,Sri Lanka,LKA,0,0,9.18
23,Cervix uteri,148,Chad,TCD,0,0,23.51
23,Cervix uteri,152,Chile,CHL,0,0,11.34
23,Cervix uteri,156,China,CHN,0,0,13.83
23,Cervix uteri,170,Colombia,COL,0,0,13.68
23,Cervix uteri,174,Comoros,COM,0,0,52.01
23,Cervix uteri,178,"Congo, Republic of",COG,0,0,22.32
23,Cervix uteri,180,"Congo, Democratic Republic of",COD,0,0,32.91
23,Cervix uteri,188,Costa Rica,CRI,0,0,10.6
23,Cervix uteri,191,Croatia,HRV,0,0,8.25
23,Cervix uteri,192,Cuba,CUB,0,0,12.83
